Position	Counts A	Counts B	Counts AB
3.00999999	240948.00000000	0.00000000	0.00000000
3.01999998	248697.00000000	0.00000000	0.00000000
3.02999997	237873.00000000	0.00000000	0.00000000
3.03999996	236520.00000000	0.00000000	0.00000000
3.04999995	231969.00000000	0.00000000	0.00000000
3.05999994	227171.00000000	0.00000000	0.00000000
3.06999993	223482.00000000	0.00000000	0.00000000
3.07999992	221267.00000000	0.00000000	0.00000000
3.08999991	220284.00000000	0.00000000	0.00000000
3.09999990	220776.00000000	0.00000000	0.00000000
3.10999990	223359.00000000	0.00000000	0.00000000
3.11999989	228771.00000000	0.00000000	0.00000000
3.12999988	236150.00000000	0.00000000	0.00000000
3.13999987	241440.00000000	0.00000000	0.00000000
3.14999986	262842.00000000	0.00000000	0.00000000
3.15999985	252141.00000000	0.00000000	0.00000000
3.16999984	256322.00000000	0.00000000	0.00000000
3.17999983	300971.00000000	0.00000000	0.00000000
3.18999982	259521.00000000	0.00000000	0.00000000
3.19999981	257060.00000000	0.00000000	0.00000000
3.20999980	253617.00000000	0.00000000	0.00000000
3.21999979	248574.00000000	0.00000000	0.00000000
3.22999978	243162.00000000	0.00000000	0.00000000
3.23999977	195194.00000000	0.00000000	0.00000000
3.24999976	230985.00000000	0.00000000	0.00000000
3.25999975	226803.00000000	0.00000000	0.00000000
3.26999974	223358.00000000	0.00000000	0.00000000
3.27999973	221022.00000000	0.00000000	0.00000000
3.28999972	221514.00000000	0.00000000	0.00000000
3.29999971	223359.00000000	0.00000000	0.00000000
3.30999970	227418.00000000	0.00000000	0.00000000
3.31999969	233567.00000000	0.00000000	0.00000000
3.32999969	239349.00000000	0.00000000	0.00000000
3.33999968	245745.00000000	0.00000000	0.00000000
3.34999967	250788.00000000	0.00000000	0.00000000
3.35999966	243039.00000000	0.00000000	0.00000000
3.36999965	259644.00000000	0.00000000	0.00000000
3.37999964	259152.00000000	0.00000000	0.00000000
3.38999963	258167.00000000	0.00000000	0.00000000
3.39999962	255216.00000000	0.00000000	0.00000000
3.40999961	251772.00000000	0.00000000	0.00000000
3.41999960	246359.00000000	0.00000000	0.00000000
3.42999959	240825.00000000	0.00000000	0.00000000
3.43999958	235536.00000000	0.00000000	0.00000000
3.44999957	226803.00000000	0.00000000	0.00000000
3.45999956	223358.00000000	0.00000000	0.00000000
3.46999955	220407.00000000	0.00000000	0.00000000
3.47999954	220038.00000000	0.00000000	0.00000000
3.48999953	226065.00000000	0.00000000	0.00000000
3.49999952	227418.00000000	0.00000000	0.00000000
3.50999951	232830.00000000	0.00000000	0.00000000
3.51999950	239103.00000000	0.00000000	0.00000000
3.52999949	259890.00000000	0.00000000	0.00000000
3.53999949	253986.00000000	0.00000000	0.00000000
3.54999948	256815.00000000	0.00000000	0.00000000
3.55999947	260013.00000000	0.00000000	0.00000000
3.56999946	259644.00000000	0.00000000	0.00000000
3.57999945	275141.00000000	0.00000000	0.00000000
3.58999944	253863.00000000	0.00000000	0.00000000
3.59999943	248943.00000000	0.00000000	0.00000000
3.60999942	231478.00000000	0.00000000	0.00000000
3.61999941	236766.00000000	0.00000000	0.00000000
3.62999940	230124.00000000	0.00000000	0.00000000
3.63999939	225941.00000000	0.00000000	0.00000000
3.64999938	221391.00000000	0.00000000	0.00000000
3.65999937	200604.00000000	0.00000000	0.00000000
3.66999936	219915.00000000	0.00000000	0.00000000
3.67999935	220899.00000000	0.00000000	0.00000000
3.68999934	233445.00000000	0.00000000	0.00000000
3.69999933	230370.00000000	0.00000000	0.00000000
3.70999932	234797.00000000	0.00000000	0.00000000
3.71999931	240210.00000000	0.00000000	0.00000000
3.72999930	245007.00000000	0.00000000	0.00000000
3.73999929	240210.00000000	0.00000000	0.00000000
3.74999928	254969.00000000	0.00000000	0.00000000
3.75999928	257184.00000000	0.00000000	0.00000000
3.76999927	270960.00000000	0.00000000	0.00000000
3.77999926	260012.00000000	0.00000000	0.00000000
3.78999925	256077.00000000	0.00000000	0.00000000
3.79999924	253863.00000000	0.00000000	0.00000000
3.80999923	234306.00000000	0.00000000	0.00000000
3.81999922	240333.00000000	0.00000000	0.00000000
3.82999921	234060.00000000	0.00000000	0.00000000
3.83999920	228648.00000000	0.00000000	0.00000000
3.84999919	224096.00000000	0.00000000	0.00000000
3.85999918	219669.00000000	0.00000000	0.00000000
3.86999917	221022.00000000	0.00000000	0.00000000
3.87999916	223359.00000000	0.00000000	0.00000000
3.88999915	229017.00000000	0.00000000	0.00000000
3.89999914	234060.00000000	0.00000000	0.00000000
3.90999913	240333.00000000	0.00000000	0.00000000
3.91999912	246729.00000000	0.00000000	0.00000000
3.92999911	251772.00000000	0.00000000	0.00000000
3.93999910	258537.00000000	0.00000000	0.00000000
3.94999909	259521.00000000	0.00000000	0.00000000
3.95999908	260382.00000000	0.00000000	0.00000000
3.96999907	257429.00000000	0.00000000	0.00000000
3.97999907	215242.00000000	0.00000000	0.00000000
3.98999906	249435.00000000	0.00000000	0.00000000
3.99999905	244637.00000000	0.00000000	0.00000000
4.00999928	239226.00000000	0.00000000	0.00000000
4.01999950	230370.00000000	0.00000000	0.00000000
4.02999973	226557.00000000	0.00000000	0.00000000
4.03999996	222743.00000000	0.00000000	0.00000000
4.05000019	221145.00000000	0.00000000	0.00000000
4.06000042	220284.00000000	0.00000000	0.00000000
4.07000065	221391.00000000	0.00000000	0.00000000
4.08000088	224835.00000000	0.00000000	0.00000000
4.09000111	229140.00000000	0.00000000	0.00000000
4.10000134	234306.00000000	0.00000000	0.00000000
4.11000156	239964.00000000	0.00000000	0.00000000
4.12000179	238243.00000000	0.00000000	0.00000000
4.13000202	253371.00000000	0.00000000	0.00000000
4.14000225	257307.00000000	0.00000000	0.00000000
4.15000248	258783.00000000	0.00000000	0.00000000
4.16000271	259029.00000000	0.00000000	0.00000000
4.17000294	258291.00000000	0.00000000	0.00000000
4.18000317	252018.00000000	0.00000000	0.00000000
4.19000340	242670.00000000	0.00000000	0.00000000
4.20000362	240333.00000000	0.00000000	0.00000000
4.21000385	234552.00000000	0.00000000	0.00000000
4.22000408	183509.00000000	0.00000000	0.00000000
4.23000431	225081.00000000	0.00000000	0.00000000
4.24000454	221267.00000000	0.00000000	0.00000000
4.25000477	239594.00000000	0.00000000	0.00000000
4.26000500	221883.00000000	0.00000000	0.00000000
4.27000523	225819.00000000	0.00000000	0.00000000
4.28000546	231600.00000000	0.00000000	0.00000000
4.29000568	252263.00000000	0.00000000	0.00000000
4.30000591	242793.00000000	0.00000000	0.00000000
4.31000614	248082.00000000	0.00000000	0.00000000
4.32000637	261242.00000000	0.00000000	0.00000000
4.33000660	258783.00000000	0.00000000	0.00000000
4.34000683	260136.00000000	0.00000000	0.00000000
4.35000706	258537.00000000	0.00000000	0.00000000
4.36000729	273788.00000000	0.00000000	0.00000000
4.37000751	252018.00000000	0.00000000	0.00000000
4.38000774	247221.00000000	0.00000000	0.00000000
4.39000797	240332.00000000	0.00000000	0.00000000
4.40000820	238611.00000000	0.00000000	0.00000000
4.41000843	226188.00000000	0.00000000	0.00000000
4.42000866	223236.00000000	0.00000000	0.00000000
4.43000889	221021.00000000	0.00000000	0.00000000
4.44000912	220284.00000000	0.00000000	0.00000000
4.45000935	233075.00000000	0.00000000	0.00000000
4.46000957	226311.00000000	0.00000000	0.00000000
4.47000980	238980.00000000	0.00000000	0.00000000
4.48001003	226557.00000000	0.00000000	0.00000000
4.49001026	245868.00000000	0.00000000	0.00000000
4.50001049	250541.00000000	0.00000000	0.00000000
4.51001072	255954.00000000	0.00000000	0.00000000
4.52001095	262104.00000000	0.00000000	0.00000000
4.53001118	260628.00000000	0.00000000	0.00000000
4.54001141	259028.00000000	0.00000000	0.00000000
4.55001163	215611.00000000	0.00000000	0.00000000
4.56001186	252756.00000000	0.00000000	0.00000000
4.57001209	246851.00000000	0.00000000	0.00000000
4.58001232	242547.00000000	0.00000000	0.00000000
4.59001255	236028.00000000	0.00000000	0.00000000
4.60001278	233445.00000000	0.00000000	0.00000000
4.61001301	222990.00000000	0.00000000	0.00000000
4.62001324	221760.00000000	0.00000000	0.00000000
4.63001347	220161.00000000	0.00000000	0.00000000
4.64001369	221390.00000000	0.00000000	0.00000000
4.65001392	225081.00000000	0.00000000	0.00000000
4.66001415	228771.00000000	0.00000000	0.00000000
4.67001438	235413.00000000	0.00000000	0.00000000
4.68001461	243162.00000000	0.00000000	0.00000000
4.69001484	247836.00000000	0.00000000	0.00000000
4.70001507	253740.00000000	0.00000000	0.00000000
4.71001530	258045.00000000	0.00000000	0.00000000
4.72001553	268746.00000000	0.00000000	0.00000000
4.73001575	260136.00000000	0.00000000	0.00000000
4.74001598	256569.00000000	0.00000000	0.00000000
4.75001621	257921.00000000	0.00000000	0.00000000
4.76001644	245253.00000000	0.00000000	0.00000000
4.77001667	236889.00000000	0.00000000	0.00000000
4.78001690	231107.00000000	0.00000000	0.00000000
4.79001713	225081.00000000	0.00000000	0.00000000
4.80001736	222252.00000000	0.00000000	0.00000000
4.81001759	215733.00000000	0.00000000	0.00000000
4.82001781	222005.00000000	0.00000000	0.00000000
4.83001804	224589.00000000	0.00000000	0.00000000
4.84001827	229017.00000000	0.00000000	0.00000000
4.85001850	244022.00000000	0.00000000	0.00000000
4.86001873	241071.00000000	0.00000000	0.00000000
4.87001896	247836.00000000	0.00000000	0.00000000
4.88001919	255339.00000000	0.00000000	0.00000000
4.89001942	258536.00000000	0.00000000	0.00000000
4.90001965	259767.00000000	0.00000000	0.00000000
4.91001987	260259.00000000	0.00000000	0.00000000
4.92002010	268991.00000000	0.00000000	0.00000000
4.93002033	255830.00000000	0.00000000	0.00000000
4.94002056	253494.00000000	0.00000000	0.00000000
4.95002079	247713.00000000	0.00000000	0.00000000
4.96002102	259889.00000000	0.00000000	0.00000000
4.97002125	235536.00000000	0.00000000	0.00000000
4.98002148	230616.00000000	0.00000000	0.00000000
4.99002171	224835.00000000	0.00000000	0.00000000
5.00002193	232091.00000000	0.00000000	0.00000000
5.01002216	220407.00000000	0.00000000	0.00000000
5.02002239	221145.00000000	0.00000000	0.00000000
5.03002262	228401.00000000	0.00000000	0.00000000
5.04002285	225942.00000000	0.00000000	0.00000000
5.05002308	230493.00000000	0.00000000	0.00000000
5.06002331	236643.00000000	0.00000000	0.00000000
5.07002354	258782.00000000	0.00000000	0.00000000
5.08002377	248205.00000000	0.00000000	0.00000000
5.09002399	253248.00000000	0.00000000	0.00000000
5.10002422	259151.00000000	0.00000000	0.00000000
5.11002445	260751.00000000	0.00000000	0.00000000
5.12002468	259890.00000000	0.00000000	0.00000000
5.13002491	256938.00000000	0.00000000	0.00000000
5.14002514	219055.00000000	0.00000000	0.00000000
5.15002537	244761.00000000	0.00000000	0.00000000
5.16002560	238857.00000000	0.00000000	0.00000000
5.17002583	231845.00000000	0.00000000	0.00000000
5.18002605	212167.00000000	0.00000000	0.00000000
5.19002628	222129.00000000	0.00000000	0.00000000
5.20002651	220899.00000000	0.00000000	0.00000000
5.21002674	246727.00000000	0.00000000	0.00000000
5.22002697	221391.00000000	0.00000000	0.00000000
5.23002720	224712.00000000	0.00000000	0.00000000
5.24002743	228401.00000000	0.00000000	0.00000000
5.25002766	237504.00000000	0.00000000	0.00000000
5.26002789	241932.00000000	0.00000000	0.00000000
5.27002811	245868.00000000	0.00000000	0.00000000
5.28002834	251895.00000000	0.00000000	0.00000000
5.29002857	237997.00000000	0.00000000	0.00000000
5.30002880	259152.00000000	0.00000000	0.00000000
5.31002903	260628.00000000	0.00000000	0.00000000
5.32002926	237135.00000000	0.00000000	0.00000000
5.33002949	256815.00000000	0.00000000	0.00000000
5.34002972	252264.00000000	0.00000000	0.00000000
5.35002995	246360.00000000	0.00000000	0.00000000
5.36003017	240086.00000000	0.00000000	0.00000000
5.37003040	212166.00000000	0.00000000	0.00000000
5.38003063	228770.00000000	0.00000000	0.00000000
5.39003086	225204.00000000	0.00000000	0.00000000
5.40003109	215488.00000000	0.00000000	0.00000000
5.41003132	220776.00000000	0.00000000	0.00000000
5.42003155	222989.00000000	0.00000000	0.00000000
5.43003178	227049.00000000	0.00000000	0.00000000
5.44003201	231354.00000000	0.00000000	0.00000000
5.45003223	213150.00000000	0.00000000	0.00000000
5.46003246	242670.00000000	0.00000000	0.00000000
5.47003269	250788.00000000	0.00000000	0.00000000
5.48003292	275141.00000000	0.00000000	0.00000000
5.49003315	260504.00000000	0.00000000	0.00000000
5.50003338	261120.00000000	0.00000000	0.00000000
5.51003361	224590.00000000	0.00000000	0.00000000
5.52003384	247467.00000000	0.00000000	0.00000000
5.53003407	246728.00000000	0.00000000	0.00000000
5.54003429	238365.00000000	0.00000000	0.00000000
5.55003452	232338.00000000	0.00000000	0.00000000
5.56003475	223604.00000000	0.00000000	0.00000000
5.57003498	221514.00000000	0.00000000	0.00000000
5.58003521	220407.00000000	0.00000000	0.00000000
5.59003544	222867.00000000	0.00000000	0.00000000
5.60003567	225204.00000000	0.00000000	0.00000000
5.61003590	229509.00000000	0.00000000	0.00000000
5.62003613	233814.00000000	0.00000000	0.00000000
5.63003635	241071.00000000	0.00000000	0.00000000
5.64003658	250419.00000000	0.00000000	0.00000000
5.65003681	255093.00000000	0.00000000	0.00000000
5.66003704	258414.00000000	0.00000000	0.00000000
5.67003727	277355.00000000	0.00000000	0.00000000
5.68003750	260259.00000000	0.00000000	0.00000000
5.69003773	258291.00000000	0.00000000	0.00000000
5.70003796	254478.00000000	0.00000000	0.00000000
5.71003819	244392.00000000	0.00000000	0.00000000
5.72003841	237996.00000000	0.00000000	0.00000000
5.73003864	232338.00000000	0.00000000	0.00000000
5.74003887	229140.00000000	0.00000000	0.00000000
5.75003910	225327.00000000	0.00000000	0.00000000
5.76003933	222744.00000000	0.00000000	0.00000000
5.77003956	220898.00000000	0.00000000	0.00000000
5.78003979	233567.00000000	0.00000000	0.00000000
5.79004002	221883.00000000	0.00000000	0.00000000
5.80004025	226188.00000000	0.00000000	0.00000000
5.81004047	229509.00000000	0.00000000	0.00000000
5.82004070	240948.00000000	0.00000000	0.00000000
5.83004093	242178.00000000	0.00000000	0.00000000
5.84004116	249681.00000000	0.00000000	0.00000000
5.85004139	254477.00000000	0.00000000	0.00000000
5.86004162	228157.00000000	0.00000000	0.00000000
5.87004185	260382.00000000	0.00000000	0.00000000
5.88004208	259644.00000000	0.00000000	0.00000000
5.89004230	258413.00000000	0.00000000	0.00000000
5.90004253	253494.00000000	0.00000000	0.00000000
5.91004276	220039.00000000	0.00000000	0.00000000
5.92004299	241316.00000000	0.00000000	0.00000000
5.93004322	234798.00000000	0.00000000	0.00000000
5.94004345	240701.00000000	0.00000000	0.00000000
5.95004368	222744.00000000	0.00000000	0.00000000
5.96004391	220283.00000000	0.00000000	0.00000000
5.97004414	220776.00000000	0.00000000	0.00000000
5.98004436	222744.00000000	0.00000000	0.00000000
5.99004459	225942.00000000	0.00000000	0.00000000
6.00004482	215734.00000000	0.00000000	0.00000000
