Position	Counts A	Counts B	Counts AB
3.00999999	243038.00000000	0.00000000	0.00000000
3.01999998	213519.00000000	0.00000000	0.00000000
3.02999997	256200.00000000	0.00000000	0.00000000
3.03999996	289532.00000000	0.00000000	0.00000000
3.04999995	322989.00000000	0.00000000	0.00000000
3.05999994	364562.00000000	0.00000000	0.00000000
3.06999993	363087.00000000	0.00000000	0.00000000
3.07999992	368130.00000000	0.00000000	0.00000000
3.08999991	363455.00000000	0.00000000	0.00000000
3.09999990	344268.00000000	0.00000000	0.00000000
3.10999990	318560.00000000	0.00000000	0.00000000
3.11999989	260136.00000000	0.00000000	0.00000000
3.12999988	219054.00000000	0.00000000	0.00000000
3.13999987	182031.00000000	0.00000000	0.00000000
3.14999986	157677.00000000	0.00000000	0.00000000
3.15999985	134921.00000000	0.00000000	0.00000000
3.16999984	121392.00000000	0.00000000	0.00000000
3.17999983	101221.00000000	0.00000000	0.00000000
3.18999982	134553.00000000	0.00000000	0.00000000
3.19999981	160014.00000000	0.00000000	0.00000000
3.20999980	197406.00000000	0.00000000	0.00000000
3.21999979	238365.00000000	0.00000000	0.00000000
3.22999978	301586.00000000	0.00000000	0.00000000
3.23999977	324957.00000000	0.00000000	0.00000000
3.24999976	355338.00000000	0.00000000	0.00000000
3.25999975	374402.00000000	0.00000000	0.00000000
3.26999974	355830.00000000	0.00000000	0.00000000
3.27999973	329877.00000000	0.00000000	0.00000000
3.28999972	251774.00000000	0.00000000	0.00000000
3.29999971	203803.00000000	0.00000000	0.00000000
3.30999970	144518.00000000	0.00000000	0.00000000
3.31999969	130250.00000000	0.00000000	0.00000000
3.32999969	136891.00000000	0.00000000	0.00000000
3.33999968	113152.00000000	0.00000000	0.00000000
3.34999967	118686.00000000	0.00000000	0.00000000
3.35999966	118194.00000000	0.00000000	0.00000000
3.36999965	128648.00000000	0.00000000	0.00000000
3.37999964	148206.00000000	0.00000000	0.00000000
3.38999963	189411.00000000	0.00000000	0.00000000
3.39999962	223113.00000000	0.00000000	0.00000000
3.40999961	322495.00000000	0.00000000	0.00000000
3.41999960	310320.00000000	0.00000000	0.00000000
3.42999959	341316.00000000	0.00000000	0.00000000
3.43999958	360011.00000000	0.00000000	0.00000000
3.44999957	385596.00000000	0.00000000	0.00000000
3.45999956	369851.00000000	0.00000000	0.00000000
3.46999955	359889.00000000	0.00000000	0.00000000
3.47999954	305278.00000000	0.00000000	0.00000000
3.48999953	311919.00000000	0.00000000	0.00000000
3.49999952	265547.00000000	0.00000000	0.00000000
3.50999951	230370.00000000	0.00000000	0.00000000
3.51999950	191379.00000000	0.00000000	0.00000000
3.52999949	160506.00000000	0.00000000	0.00000000
3.53999949	134307.00000000	0.00000000	0.00000000
3.54999948	119915.00000000	0.00000000	0.00000000
3.55999947	118194.00000000	0.00000000	0.00000000
3.56999946	129756.00000000	0.00000000	0.00000000
3.57999945	196788.00000000	0.00000000	0.00000000
3.58999944	194208.00000000	0.00000000	0.00000000
3.59999943	237012.00000000	0.00000000	0.00000000
3.60999942	279447.00000000	0.00000000	0.00000000
3.61999941	354352.00000000	0.00000000	0.00000000
3.62999940	343530.00000000	0.00000000	0.00000000
3.63999939	360872.00000000	0.00000000	0.00000000
3.64999938	341685.00000000	0.00000000	0.00000000
3.65999937	365177.00000000	0.00000000	0.00000000
3.66999936	352263.00000000	0.00000000	0.00000000
3.67999935	315117.00000000	0.00000000	0.00000000
3.68999934	286457.00000000	0.00000000	0.00000000
3.69999933	248205.00000000	0.00000000	0.00000000
3.70999932	217947.00000000	0.00000000	0.00000000
3.71999931	184737.00000000	0.00000000	0.00000000
3.72999930	156816.00000000	0.00000000	0.00000000
3.73999929	135536.00000000	0.00000000	0.00000000
3.74999928	123114.00000000	0.00000000	0.00000000
3.75999928	96916.00000000	0.00000000	0.00000000
3.76999927	126066.00000000	0.00000000	0.00000000
3.77999926	147960.00000000	0.00000000	0.00000000
3.78999925	179817.00000000	0.00000000	0.00000000
3.79999924	217578.00000000	0.00000000	0.00000000
3.80999923	282275.00000000	0.00000000	0.00000000
3.81999922	296175.00000000	0.00000000	0.00000000
3.82999921	329140.00000000	0.00000000	0.00000000
3.83999920	353124.00000000	0.00000000	0.00000000
3.84999919	347220.00000000	0.00000000	0.00000000
3.85999918	367761.00000000	0.00000000	0.00000000
3.86999917	349926.00000000	0.00000000	0.00000000
3.87999916	326186.00000000	0.00000000	0.00000000
3.88999915	290516.00000000	0.00000000	0.00000000
3.89999914	226557.00000000	0.00000000	0.00000000
3.90999913	192241.00000000	0.00000000	0.00000000
3.91999912	175019.00000000	0.00000000	0.00000000
3.92999911	82404.00000000	0.00000000	0.00000000
3.93999910	116595.00000000	0.00000000	0.00000000
3.94999909	116840.00000000	0.00000000	0.00000000
3.95999908	129264.00000000	0.00000000	0.00000000
3.96999907	154110.00000000	0.00000000	0.00000000
3.97999907	188796.00000000	0.00000000	0.00000000
3.98999906	280552.00000000	0.00000000	0.00000000
3.99999905	268746.00000000	0.00000000	0.00000000
4.00999928	307984.00000000	0.00000000	0.00000000
4.01999950	362594.00000000	0.00000000	0.00000000
4.02999973	370836.00000000	0.00000000	0.00000000
4.03999996	362349.00000000	0.00000000	0.00000000
4.05000019	343775.00000000	0.00000000	0.00000000
4.06000042	309213.00000000	0.00000000	0.00000000
4.07000065	254601.00000000	0.00000000	0.00000000
4.08000088	233321.00000000	0.00000000	0.00000000
4.09000111	180679.00000000	0.00000000	0.00000000
4.10000134	167639.00000000	0.00000000	0.00000000
4.11000156	85233.00000000	0.00000000	0.00000000
4.12000179	117456.00000000	0.00000000	0.00000000
4.13000202	115364.00000000	0.00000000	0.00000000
4.14000225	124098.00000000	0.00000000	0.00000000
4.15000248	144639.00000000	0.00000000	0.00000000
4.16000271	170223.00000000	0.00000000	0.00000000
4.17000294	205647.00000000	0.00000000	0.00000000
4.18000317	297772.00000000	0.00000000	0.00000000
4.19000340	280554.00000000	0.00000000	0.00000000
4.20000362	356321.00000000	0.00000000	0.00000000
4.21000385	342792.00000000	0.00000000	0.00000000
4.22000408	368253.00000000	0.00000000	0.00000000
4.23000431	371205.00000000	0.00000000	0.00000000
4.24000454	349926.00000000	0.00000000	0.00000000
4.25000477	343530.00000000	0.00000000	0.00000000
4.26000500	320651.00000000	0.00000000	0.00000000
4.27000523	289164.00000000	0.00000000	0.00000000
4.28000546	222006.00000000	0.00000000	0.00000000
4.29000568	193101.00000000	0.00000000	0.00000000
4.30000591	157800.00000000	0.00000000	0.00000000
4.31000614	133446.00000000	0.00000000	0.00000000
4.32000637	118439.00000000	0.00000000	0.00000000
4.33000660	116718.00000000	0.00000000	0.00000000
4.34000683	126189.00000000	0.00000000	0.00000000
4.35000706	148575.00000000	0.00000000	0.00000000
4.36000729	243405.00000000	0.00000000	0.00000000
4.37000751	217209.00000000	0.00000000	0.00000000
4.38000774	319297.00000000	0.00000000	0.00000000
4.39000797	312533.00000000	0.00000000	0.00000000
4.40000820	343407.00000000	0.00000000	0.00000000
4.41000843	370467.00000000	0.00000000	0.00000000
4.42000866	370590.00000000	0.00000000	0.00000000
4.43000889	368622.00000000	0.00000000	0.00000000
4.44000912	304786.00000000	0.00000000	0.00000000
4.45000935	325080.00000000	0.00000000	0.00000000
4.46000957	243778.00000000	0.00000000	0.00000000
4.47000980	229509.00000000	0.00000000	0.00000000
4.48001003	189903.00000000	0.00000000	0.00000000
4.49001026	154479.00000000	0.00000000	0.00000000
4.50001049	128403.00000000	0.00000000	0.00000000
4.51001072	116225.00000000	0.00000000	0.00000000
4.52001095	116841.00000000	0.00000000	0.00000000
4.53001118	129510.00000000	0.00000000	0.00000000
4.54001141	217574.00000000	0.00000000	0.00000000
4.55001163	189289.00000000	0.00000000	0.00000000
4.56001186	224959.00000000	0.00000000	0.00000000
4.57001209	289410.00000000	0.00000000	0.00000000
4.58001232	321881.00000000	0.00000000	0.00000000
4.59001255	344637.00000000	0.00000000	0.00000000
4.60001278	366162.00000000	0.00000000	0.00000000
4.61001301	370959.00000000	0.00000000	0.00000000
4.62001324	364439.00000000	0.00000000	0.00000000
4.63001347	348696.00000000	0.00000000	0.00000000
4.64001369	305523.00000000	0.00000000	0.00000000
4.65001392	269360.00000000	0.00000000	0.00000000
4.66001415	233937.00000000	0.00000000	0.00000000
4.67001438	196176.00000000	0.00000000	0.00000000
4.68001461	166041.00000000	0.00000000	0.00000000
4.69001484	139472.00000000	0.00000000	0.00000000
4.70001507	121884.00000000	0.00000000	0.00000000
4.71001530	114627.00000000	0.00000000	0.00000000
4.72001553	136519.00000000	0.00000000	0.00000000
4.73001575	147591.00000000	0.00000000	0.00000000
4.74001598	173667.00000000	0.00000000	0.00000000
4.75001621	209460.00000000	0.00000000	0.00000000
