Position	Counts A	Counts B	Counts AB
3.00999999	240701.00000000	0.00000000	0.00000000
3.01999998	194455.00000000	0.00000000	0.00000000
3.02999997	230616.00000000	0.00000000	0.00000000
3.03999996	230738.00000000	0.00000000	0.00000000
3.04999995	231477.00000000	0.00000000	0.00000000
3.05999994	238611.00000000	0.00000000	0.00000000
3.06999993	237135.00000000	0.00000000	0.00000000
3.07999992	240701.00000000	0.00000000	0.00000000
3.08999991	243777.00000000	0.00000000	0.00000000
3.09999990	211552.00000000	0.00000000	0.00000000
3.10999990	251526.00000000	0.00000000	0.00000000
3.11999989	253862.00000000	0.00000000	0.00000000
3.12999988	263703.00000000	0.00000000	0.00000000
3.13999987	256569.00000000	0.00000000	0.00000000
3.14999986	255584.00000000	0.00000000	0.00000000
3.15999985	272927.00000000	0.00000000	0.00000000
3.16999984	249435.00000000	0.00000000	0.00000000
3.17999983	245867.00000000	0.00000000	0.00000000
3.18999982	241932.00000000	0.00000000	0.00000000
3.19999981	237873.00000000	0.00000000	0.00000000
3.20999980	234921.00000000	0.00000000	0.00000000
3.21999979	215487.00000000	0.00000000	0.00000000
3.22999978	230124.00000000	0.00000000	0.00000000
3.23999977	230124.00000000	0.00000000	0.00000000
3.24999976	232707.00000000	0.00000000	0.00000000
3.25999975	235536.00000000	0.00000000	0.00000000
3.26999974	217948.00000000	0.00000000	0.00000000
3.27999973	242670.00000000	0.00000000	0.00000000
3.28999972	246360.00000000	0.00000000	0.00000000
3.29999971	250295.00000000	0.00000000	0.00000000
3.30999970	212413.00000000	0.00000000	0.00000000
3.31999969	256077.00000000	0.00000000	0.00000000
3.32999969	256692.00000000	0.00000000	0.00000000
3.33999968	256322.00000000	0.00000000	0.00000000
3.34999967	254109.00000000	0.00000000	0.00000000
3.35999966	258537.00000000	0.00000000	0.00000000
3.36999965	246728.00000000	0.00000000	0.00000000
3.37999964	243654.00000000	0.00000000	0.00000000
3.38999963	248205.00000000	0.00000000	0.00000000
3.39999962	233445.00000000	0.00000000	0.00000000
3.40999961	231722.00000000	0.00000000	0.00000000
3.41999960	230124.00000000	0.00000000	0.00000000
3.42999959	230370.00000000	0.00000000	0.00000000
3.43999958	232215.00000000	0.00000000	0.00000000
3.44999957	233691.00000000	0.00000000	0.00000000
3.45999956	236520.00000000	0.00000000	0.00000000
3.46999955	231231.00000000	0.00000000	0.00000000
3.47999954	246237.00000000	0.00000000	0.00000000
3.48999953	250173.00000000	0.00000000	0.00000000
3.49999952	252510.00000000	0.00000000	0.00000000
3.50999951	255461.00000000	0.00000000	0.00000000
3.51999950	256692.00000000	0.00000000	0.00000000
3.52999949	255216.00000000	0.00000000	0.00000000
3.53999949	254970.00000000	0.00000000	0.00000000
3.54999948	212168.00000000	0.00000000	0.00000000
3.55999947	246729.00000000	0.00000000	0.00000000
3.56999946	242301.00000000	0.00000000	0.00000000
3.57999945	238242.00000000	0.00000000	0.00000000
3.58999944	233690.00000000	0.00000000	0.00000000
3.59999943	199375.00000000	0.00000000	0.00000000
3.60999942	230124.00000000	0.00000000	0.00000000
3.61999941	230246.00000000	0.00000000	0.00000000
3.62999940	231108.00000000	0.00000000	0.00000000
3.63999939	235044.00000000	0.00000000	0.00000000
3.64999938	238365.00000000	0.00000000	0.00000000
3.65999937	242669.00000000	0.00000000	0.00000000
