Position	Counts A	Counts B	Counts AB
3.00999999	30007.00000000	0.00000000	0.00000000
3.01999998	31607.00000000	0.00000000	0.00000000
3.02999997	27547.00000000	0.00000000	0.00000000
3.03999996	22382.00000000	0.00000000	0.00000000
3.04999995	16231.00000000	0.00000000	0.00000000
3.05999994	12172.00000000	0.00000000	0.00000000
3.06999993	10943.00000000	0.00000000	0.00000000
3.07999992	12787.00000000	0.00000000	0.00000000
3.08999991	16232.00000000	0.00000000	0.00000000
3.09999990	21766.00000000	0.00000000	0.00000000
3.10999990	49932.00000000	0.00000000	0.00000000
3.11999989	44275.00000000	0.00000000	0.00000000
3.12999988	49934.00000000	0.00000000	0.00000000
3.13999987	52393.00000000	0.00000000	0.00000000
3.14999986	51778.00000000	0.00000000	0.00000000
3.15999985	49196.00000000	0.00000000	0.00000000
3.16999984	45505.00000000	0.00000000	0.00000000
3.17999983	40094.00000000	0.00000000	0.00000000
3.18999982	32344.00000000	0.00000000	0.00000000
3.19999981	25087.00000000	0.00000000	0.00000000
3.20999980	25945.00000000	0.00000000	0.00000000
3.21999979	12296.00000000	0.00000000	0.00000000
3.22999978	13894.00000000	0.00000000	0.00000000
3.23999977	18076.00000000	0.00000000	0.00000000
3.24999976	23858.00000000	0.00000000	0.00000000
3.25999975	32344.00000000	0.00000000	0.00000000
3.26999974	41201.00000000	0.00000000	0.00000000
3.27999973	48580.00000000	0.00000000	0.00000000
3.28999972	54976.00000000	0.00000000	0.00000000
3.29999971	57437.00000000	0.00000000	0.00000000
3.30999970	56452.00000000	0.00000000	0.00000000
3.31999969	63217.00000000	0.00000000	0.00000000
3.32999969	42307.00000000	0.00000000	0.00000000
3.33999968	33944.00000000	0.00000000	0.00000000
3.34999967	25702.00000000	0.00000000	0.00000000
3.35999966	18569.00000000	0.00000000	0.00000000
3.36999965	14263.00000000	0.00000000	0.00000000
3.37999964	13279.00000000	0.00000000	0.00000000
3.38999963	15494.00000000	0.00000000	0.00000000
3.39999962	21028.00000000	0.00000000	0.00000000
3.40999961	29270.00000000	0.00000000	0.00000000
3.41999960	42799.00000000	0.00000000	0.00000000
3.42999959	61249.00000000	0.00000000	0.00000000
3.43999958	57313.00000000	0.00000000	0.00000000
3.44999957	58544.00000000	0.00000000	0.00000000
3.45999956	57190.00000000	0.00000000	0.00000000
3.46999955	53869.00000000	0.00000000	0.00000000
3.47999954	47351.00000000	0.00000000	0.00000000
3.48999953	38125.00000000	0.00000000	0.00000000
3.49999952	27302.00000000	0.00000000	0.00000000
3.50999951	20044.00000000	0.00000000	0.00000000
3.51999950	16108.00000000	0.00000000	0.00000000
3.52999949	15002.00000000	0.00000000	0.00000000
3.53999949	15247.00000000	0.00000000	0.00000000
3.54999948	18938.00000000	0.00000000	0.00000000
3.55999947	30376.00000000	0.00000000	0.00000000
3.56999946	36404.00000000	0.00000000	0.00000000
3.57999945	43291.00000000	0.00000000	0.00000000
3.58999944	50303.00000000	0.00000000	0.00000000
3.59999943	56329.00000000	0.00000000	0.00000000
3.60999942	59158.00000000	0.00000000	0.00000000
3.61999941	57437.00000000	0.00000000	0.00000000
3.62999940	50302.00000000	0.00000000	0.00000000
3.63999939	42923.00000000	0.00000000	0.00000000
3.64999938	36526.00000000	0.00000000	0.00000000
3.65999937	30991.00000000	0.00000000	0.00000000
3.66999936	44640.00000000	0.00000000	0.00000000
3.67999935	15002.00000000	0.00000000	0.00000000
3.68999934	12172.00000000	0.00000000	0.00000000
3.69999933	12787.00000000	0.00000000	0.00000000
3.70999932	16355.00000000	0.00000000	0.00000000
3.71999931	21520.00000000	0.00000000	0.00000000
3.72999930	29023.00000000	0.00000000	0.00000000
3.73999929	36896.00000000	0.00000000	0.00000000
3.74999928	44644.00000000	0.00000000	0.00000000
3.75999928	49442.00000000	0.00000000	0.00000000
3.76999927	49687.00000000	0.00000000	0.00000000
3.77999926	47842.00000000	0.00000000	0.00000000
3.78999925	44276.00000000	0.00000000	0.00000000
3.79999924	33698.00000000	0.00000000	0.00000000
3.80999923	24718.00000000	0.00000000	0.00000000
3.81999922	15986.00000000	0.00000000	0.00000000
3.82999921	11680.00000000	0.00000000	0.00000000
3.83999920	12172.00000000	0.00000000	0.00000000
3.84999919	15617.00000000	0.00000000	0.00000000
3.85999918	20290.00000000	0.00000000	0.00000000
3.86999917	27055.00000000	0.00000000	0.00000000
3.87999916	34313.00000000	0.00000000	0.00000000
3.88999915	40093.00000000	0.00000000	0.00000000
3.89999914	44030.00000000	0.00000000	0.00000000
3.90999913	54483.00000000	0.00000000	0.00000000
3.91999912	45752.00000000	0.00000000	0.00000000
3.92999911	42061.00000000	0.00000000	0.00000000
3.93999910	34682.00000000	0.00000000	0.00000000
3.94999909	26317.00000000	0.00000000	0.00000000
3.95999908	21520.00000000	0.00000000	0.00000000
3.96999907	17831.00000000	0.00000000	0.00000000
3.97999907	15001.00000000	0.00000000	0.00000000
3.98999906	12665.00000000	0.00000000	0.00000000
3.99999905	12664.00000000	0.00000000	0.00000000
4.00999928	16108.00000000	0.00000000	0.00000000
4.01999950	21521.00000000	0.00000000	0.00000000
4.02999973	32344.00000000	0.00000000	0.00000000
4.03999996	40093.00000000	0.00000000	0.00000000
4.05000019	44152.00000000	0.00000000	0.00000000
4.06000042	45014.00000000	0.00000000	0.00000000
4.07000065	43045.00000000	0.00000000	0.00000000
4.08000088	40340.00000000	0.00000000	0.00000000
4.09000111	37756.00000000	0.00000000	0.00000000
4.10000134	32467.00000000	0.00000000	0.00000000
4.11000156	25457.00000000	0.00000000	0.00000000
4.12000179	18691.00000000	0.00000000	0.00000000
4.13000202	14510.00000000	0.00000000	0.00000000
4.14000225	13156.00000000	0.00000000	0.00000000
4.15000248	14633.00000000	0.00000000	0.00000000
4.16000271	17707.00000000	0.00000000	0.00000000
4.17000294	23243.00000000	0.00000000	0.00000000
4.18000317	29269.00000000	0.00000000	0.00000000
4.19000340	33943.00000000	0.00000000	0.00000000
4.20000362	39356.00000000	0.00000000	0.00000000
4.21000385	43168.00000000	0.00000000	0.00000000
4.22000408	44399.00000000	0.00000000	0.00000000
4.23000431	42061.00000000	0.00000000	0.00000000
4.24000454	37879.00000000	0.00000000	0.00000000
4.25000477	32960.00000000	0.00000000	0.00000000
4.26000500	27301.00000000	0.00000000	0.00000000
4.27000523	31849.00000000	0.00000000	0.00000000
4.28000546	12049.00000000	0.00000000	0.00000000
4.29000568	11435.00000000	0.00000000	0.00000000
4.30000591	13402.00000000	0.00000000	0.00000000
4.31000614	18200.00000000	0.00000000	0.00000000
4.32000637	23611.00000000	0.00000000	0.00000000
4.33000660	29761.00000000	0.00000000	0.00000000
4.34000683	36035.00000000	0.00000000	0.00000000
4.35000706	40216.00000000	0.00000000	0.00000000
4.36000729	42554.00000000	0.00000000	0.00000000
4.37000751	43168.00000000	0.00000000	0.00000000
4.38000774	42676.00000000	0.00000000	0.00000000
4.39000797	34312.00000000	0.00000000	0.00000000
4.40000820	28163.00000000	0.00000000	0.00000000
4.41000843	22012.00000000	0.00000000	0.00000000
4.42000866	17461.00000000	0.00000000	0.00000000
4.43000889	14387.00000000	0.00000000	0.00000000
4.44000912	12664.00000000	0.00000000	0.00000000
4.45000935	13280.00000000	0.00000000	0.00000000
4.46000957	16108.00000000	0.00000000	0.00000000
4.47000980	21151.00000000	0.00000000	0.00000000
4.48001003	27179.00000000	0.00000000	0.00000000
4.49001026	32590.00000000	0.00000000	0.00000000
4.50001049	41692.00000000	0.00000000	0.00000000
4.51001072	47104.00000000	0.00000000	0.00000000
4.52001095	48212.00000000	0.00000000	0.00000000
