Position	Counts A	Counts B	Counts AB
3.00999999	42799.00000000	0.00000000	0.00000000
3.01999998	49073.00000000	0.00000000	0.00000000
3.02999997	54483.00000000	0.00000000	0.00000000
3.03999996	31606.00000000	0.00000000	0.00000000
3.04999995	31114.00000000	0.00000000	0.00000000
3.05999994	29147.00000000	0.00000000	0.00000000
3.06999993	26932.00000000	0.00000000	0.00000000
3.07999992	28286.00000000	0.00000000	0.00000000
3.08999991	34558.00000000	0.00000000	0.00000000
3.09999990	44890.00000000	0.00000000	0.00000000
3.10999990	51779.00000000	0.00000000	0.00000000
3.11999989	54238.00000000	0.00000000	0.00000000
3.12999988	71089.00000000	0.00000000	0.00000000
3.13999987	68875.00000000	0.00000000	0.00000000
3.14999986	61004.00000000	0.00000000	0.00000000
3.15999985	51040.00000000	0.00000000	0.00000000
3.16999984	46613.00000000	0.00000000	0.00000000
3.17999983	45505.00000000	0.00000000	0.00000000
3.18999982	37510.00000000	0.00000000	0.00000000
3.19999981	29516.00000000	0.00000000	0.00000000
3.20999980	26563.00000000	0.00000000	0.00000000
3.21999979	29516.00000000	0.00000000	0.00000000
3.22999978	35788.00000000	0.00000000	0.00000000
3.23999977	40831.00000000	0.00000000	0.00000000
3.24999976	45260.00000000	0.00000000	0.00000000
3.25999975	55468.00000000	0.00000000	0.00000000
3.26999974	65800.00000000	0.00000000	0.00000000
3.27999973	63709.00000000	0.00000000	0.00000000
3.28999972	58421.00000000	0.00000000	0.00000000
3.29999971	57928.00000000	0.00000000	0.00000000
3.30999970	59405.00000000	0.00000000	0.00000000
3.31999969	54115.00000000	0.00000000	0.00000000
3.32999969	43168.00000000	0.00000000	0.00000000
3.33999968	36281.00000000	0.00000000	0.00000000
3.34999967	29639.00000000	0.00000000	0.00000000
3.35999966	25579.00000000	0.00000000	0.00000000
3.36999965	24226.00000000	0.00000000	0.00000000
3.37999964	26441.00000000	0.00000000	0.00000000
3.38999963	32713.00000000	0.00000000	0.00000000
3.39999962	41078.00000000	0.00000000	0.00000000
3.40999961	44521.00000000	0.00000000	0.00000000
3.41999960	46366.00000000	0.00000000	0.00000000
3.42999959	52640.00000000	0.00000000	0.00000000
3.43999958	58666.00000000	0.00000000	0.00000000
3.44999957	59036.00000000	0.00000000	0.00000000
3.45999956	53992.00000000	0.00000000	0.00000000
3.46999955	56083.00000000	0.00000000	0.00000000
3.47999954	43906.00000000	0.00000000	0.00000000
3.48999953	35420.00000000	0.00000000	0.00000000
3.49999952	28900.00000000	0.00000000	0.00000000
3.50999951	25948.00000000	0.00000000	0.00000000
3.51999950	25088.00000000	0.00000000	0.00000000
3.52999949	23857.00000000	0.00000000	0.00000000
3.53999949	23858.00000000	0.00000000	0.00000000
3.54999948	26071.00000000	0.00000000	0.00000000
3.55999947	32221.00000000	0.00000000	0.00000000
3.56999946	44644.00000000	0.00000000	0.00000000
3.57999945	47351.00000000	0.00000000	0.00000000
3.58999944	50056.00000000	0.00000000	0.00000000
3.59999943	54853.00000000	0.00000000	0.00000000
3.60999942	53870.00000000	0.00000000	0.00000000
3.61999941	48211.00000000	0.00000000	0.00000000
3.62999940	43046.00000000	0.00000000	0.00000000
3.63999939	38863.00000000	0.00000000	0.00000000
3.64999938	32713.00000000	0.00000000	0.00000000
3.65999937	25088.00000000	0.00000000	0.00000000
3.66999936	21889.00000000	0.00000000	0.00000000
3.67999935	21890.00000000	0.00000000	0.00000000
3.68999934	24103.00000000	0.00000000	0.00000000
3.69999933	37879.00000000	0.00000000	0.00000000
3.70999932	37879.00000000	0.00000000	0.00000000
3.71999931	45260.00000000	0.00000000	0.00000000
3.72999930	50179.00000000	0.00000000	0.00000000
3.73999929	48826.00000000	0.00000000	0.00000000
3.74999928	47966.00000000	0.00000000	0.00000000
3.75999928	45874.00000000	0.00000000	0.00000000
3.76999927	42308.00000000	0.00000000	0.00000000
3.77999926	34681.00000000	0.00000000	0.00000000
3.78999925	27916.00000000	0.00000000	0.00000000
3.79999924	24350.00000000	0.00000000	0.00000000
3.80999923	29513.00000000	0.00000000	0.00000000
3.81999922	21151.00000000	0.00000000	0.00000000
3.82999921	24349.00000000	0.00000000	0.00000000
3.83999920	30254.00000000	0.00000000	0.00000000
3.84999919	34927.00000000	0.00000000	0.00000000
3.85999918	38126.00000000	0.00000000	0.00000000
3.86999917	39601.00000000	0.00000000	0.00000000
3.87999916	42799.00000000	0.00000000	0.00000000
3.88999915	44030.00000000	0.00000000	0.00000000
3.89999914	40585.00000000	0.00000000	0.00000000
3.90999913	34805.00000000	0.00000000	0.00000000
3.91999912	37632.00000000	0.00000000	0.00000000
3.92999911	25580.00000000	0.00000000	0.00000000
3.93999910	20167.00000000	0.00000000	0.00000000
3.94999909	18569.00000000	0.00000000	0.00000000
3.95999908	19798.00000000	0.00000000	0.00000000
3.96999907	22627.00000000	0.00000000	0.00000000
3.97999907	25334.00000000	0.00000000	0.00000000
3.98999906	28531.00000000	0.00000000	0.00000000
3.99999905	32591.00000000	0.00000000	0.00000000
4.00999928	39478.00000000	0.00000000	0.00000000
4.01999950	73792.00000000	0.00000000	0.00000000
4.02999973	44521.00000000	0.00000000	0.00000000
4.03999996	43415.00000000	0.00000000	0.00000000
4.05000019	43414.00000000	0.00000000	0.00000000
